    New chain ID            Original chain ID

9dcb-pdb-bundle1.pdb:
           A                         A
           B                         B
           C                         C
           D                         D
           E                         E
           F                         F
           G                         G
           H                         H
           I                         I
           J                         J
           K                         K
           L                         L
           M                         M
           N                         N
           O                         O
           P                         P
           Q                         Q
           R                         R
           S                         S
           T                         T
           U                         U
           V                         V
           W                         W
           X                         X

9dcb-pdb-bundle2.pdb:
           Y                         Y
           Z                         Z
           a                         a
           b                         b
           c                         c
           d                         d
           e                         e
           f                         f
           g                         g
           h                         h
           i                         i
           j                         j
           k                         k
           l                         l
           m                         m
           n                         n
           o                         o
           p                         p
           q                         q
           r                         r
           s                         s
           t                         t
           u                         u
           v                         v

9dcb-pdb-bundle3.pdb:
           A                         w
           B                         x
           C                         y
           D                         z
           E                         1
           F                         2
           G                         3
           H                         4
           I                         5
           J                         6
           K                         7
           L                         8
           M                         0
           N                        JA
           O                        UA
           P                        fA
           Q                        qA
           R                        1A
           S                        3A
           T                        4A
           U                        5A
           V                         9
           W                        AA
           X                        BA
           Y                        CA
           Z                        DA
           a                        EA
           b                        FA
           c                        GA
           d                        HA
           e                        IA
           f                        KA
           g                        LA
           h                        MA
           i                        NA
           j                        OA
           k                        PA
           l                        QA
           m                        RA
           n                        SA
           o                        TA
           p                        VA
           q                        WA
           r                        XA
           s                        YA
           t                        ZA
           u                        aA
           v                        bA
           w                        cA
           x                        dA
           y                        eA
           z                        gA
           0                        hA
           1                        iA
           2                        jA
           3                        kA
           4                        lA
           5                        mA
           6                        nA
           7                        oA
           8                        pA
           9                        rA

9dcb-pdb-bundle4.pdb:
           A                        sA
           B                        tA
           C                        uA
           D                        vA
           E                        wA
           F                        xA
           G                        yA
           H                        zA
           I                        0A
           J                        2A
